"Date","Price","Open","High","Low","Change %"
"Nov 30, 2021","1.1336","1.1291","1.1384","1.1236","0.40%"
"Nov 29, 2021","1.1291","1.1309","1.1316","1.1258","-0.23%"
"Nov 26, 2021","1.1317","1.1209","1.1331","1.1205","0.99%"
"Nov 25, 2021","1.1206","1.1198","1.1231","1.1198","0.08%"
"Nov 24, 2021","1.1197","1.1248","1.1256","1.1185","-0.44%"
"Nov 23, 2021","1.1246","1.1237","1.1276","1.1226","0.11%"
"Nov 22, 2021","1.1234","1.1292","1.1293","1.1230","-0.49%"
"Nov 19, 2021","1.1289","1.1371","1.1374","1.1250","-0.70%"
"Nov 18, 2021","1.1369","1.1319","1.1375","1.1314","0.44%"
"Nov 17, 2021","1.1319","1.1321","1.1333","1.1264","0.00%"
"Nov 16, 2021","1.1319","1.1368","1.1386","1.1309","-0.42%"
"Nov 15, 2021","1.1367","1.1452","1.1465","1.1356","-0.72%"
"Nov 12, 2021","1.1450","1.1454","1.1463","1.1432","0.00%"
"Nov 11, 2021","1.1450","1.1482","1.1488","1.1443","-0.24%"
"Nov 10, 2021","1.1478","1.1593","1.1596","1.1475","-0.97%"
"Nov 09, 2021","1.1591","1.1588","1.1609","1.1569","0.04%"
"Nov 08, 2021","1.1586","1.1555","1.1595","1.1550","0.17%"
"Nov 05, 2021","1.1566","1.1553","1.1574","1.1513","0.12%"
"Nov 04, 2021","1.1552","1.1611","1.1617","1.1528","-0.50%"
"Nov 03, 2021","1.1610","1.1579","1.1617","1.1561","0.29%"
"Nov 02, 2021","1.1577","1.1605","1.1615","1.1574","-0.25%"
"Nov 01, 2021","1.1606","1.1559","1.1610","1.1545","0.39%"
"Oct 29, 2021","1.1561","1.1680","1.1690","1.1535","-1.01%"
"Oct 28, 2021","1.1679","1.1605","1.1693","1.1581","0.65%"
"Oct 27, 2021","1.1604","1.1597","1.1626","1.1585","0.08%"
"Oct 26, 2021","1.1595","1.1607","1.1626","1.1585","-0.09%"
"Oct 25, 2021","1.1606","1.1644","1.1666","1.1590","-0.35%"
"Oct 22, 2021","1.1647","1.1623","1.1656","1.1621","0.22%"
"Oct 21, 2021","1.1621","1.1650","1.1668","1.1619","-0.24%"
"Oct 20, 2021","1.1649","1.1634","1.1659","1.1616","0.15%"
"Oct 19, 2021","1.1632","1.1611","1.1670","1.1608","0.20%"
"Oct 18, 2021","1.1609","1.1597","1.1624","1.1571","0.08%"
"Oct 15, 2021","1.1600","1.1599","1.1621","1.1588","0.05%"
"Oct 14, 2021","1.1594","1.1593","1.1625","1.1583","0.02%"
"Oct 13, 2021","1.1592","1.1528","1.1598","1.1527","0.56%"
"Oct 12, 2021","1.1527","1.1555","1.1571","1.1524","-0.21%"
"Oct 11, 2021","1.1551","1.1571","1.1588","1.1549","-0.14%"
"Oct 08, 2021","1.1567","1.1551","1.1586","1.1540","0.15%"
"Oct 07, 2021","1.1550","1.1556","1.1573","1.1547","-0.05%"
"Oct 06, 2021","1.1556","1.1603","1.1605","1.1529","-0.34%"
"Oct 05, 2021","1.1596","1.1623","1.1623","1.1580","-0.22%"
"Oct 04, 2021","1.1621","1.1593","1.1641","1.1587","0.23%"
"Oct 01, 2021","1.1594","1.1582","1.1608","1.1563","0.11%"
"Sep 30, 2021","1.1581","1.1596","1.1611","1.1562","-0.12%"
"Sep 29, 2021","1.1595","1.1683","1.1691","1.1589","-0.74%"
"Sep 28, 2021","1.1681","1.1696","1.1704","1.1667","-0.11%"
"Sep 27, 2021","1.1694","1.1724","1.1728","1.1684","-0.17%"
"Sep 24, 2021","1.1714","1.1738","1.1748","1.1700","-0.19%"
"Sep 23, 2021","1.1736","1.1686","1.1751","1.1683","0.43%"
"Sep 22, 2021","1.1686","1.1726","1.1757","1.1683","-0.32%"
"Sep 21, 2021","1.1723","1.1726","1.1751","1.1715","-0.02%"
"Sep 20, 2021","1.1725","1.1732","1.1737","1.1700","0.00%"
"Sep 17, 2021","1.1725","1.1762","1.1789","1.1724","-0.33%"
"Sep 16, 2021","1.1764","1.1816","1.1822","1.1751","-0.43%"
"Sep 15, 2021","1.1815","1.1806","1.1833","1.1798","0.11%"
"Sep 14, 2021","1.1802","1.1812","1.1846","1.1799","-0.05%"
"Sep 13, 2021","1.1808","1.1813","1.1818","1.1769","-0.05%"
"Sep 10, 2021","1.1814","1.1826","1.1852","1.1809","-0.09%"
"Sep 09, 2021","1.1825","1.1817","1.1842","1.1804","0.10%"
"Sep 08, 2021","1.1813","1.1840","1.1852","1.1802","-0.22%"
"Sep 07, 2021","1.1839","1.1870","1.1885","1.1837","-0.24%"
"Sep 06, 2021","1.1868","1.1879","1.1888","1.1855","-0.12%"
"Sep 03, 2021","1.1882","1.1875","1.1910","1.1866","0.08%"
"Sep 02, 2021","1.1873","1.1839","1.1877","1.1834","0.30%"
"Sep 01, 2021","1.1837","1.1810","1.1858","1.1793","0.25%"
"Aug 31, 2021","1.1807","1.1797","1.1848","1.1795","0.10%"
"Aug 30, 2021","1.1795","1.1793","1.1810","1.1782","0.02%"
"Aug 27, 2021","1.1793","1.1752","1.1803","1.1734","0.37%"
"Aug 26, 2021","1.1750","1.1772","1.1781","1.1746","-0.17%"
"Aug 25, 2021","1.1770","1.1754","1.1775","1.1725","0.14%"
"Aug 24, 2021","1.1753","1.1746","1.1766","1.1726","0.09%"
"Aug 23, 2021","1.1743","1.1694","1.1751","1.1691","0.40%"
"Aug 20, 2021","1.1696","1.1675","1.1705","1.1664","0.19%"
"Aug 19, 2021","1.1674","1.1711","1.1717","1.1666","-0.31%"
"Aug 18, 2021","1.1710","1.1710","1.1743","1.1694","0.02%"
"Aug 17, 2021","1.1708","1.1776","1.1786","1.1708","-0.59%"
"Aug 16, 2021","1.1777","1.1794","1.1802","1.1767","-0.12%"
"Aug 13, 2021","1.1791","1.1730","1.1805","1.1727","0.55%"
"Aug 12, 2021","1.1727","1.1738","1.1749","1.1724","-0.09%"
"Aug 11, 2021","1.1737","1.1720","1.1753","1.1705","0.16%"
"Aug 10, 2021","1.1718","1.1738","1.1744","1.1710","-0.16%"
"Aug 09, 2021","1.1737","1.1762","1.1769","1.1734","-0.20%"
"Aug 06, 2021","1.1760","1.1834","1.1837","1.1753","-0.61%"
"Aug 05, 2021","1.1832","1.1837","1.1858","1.1827","-0.03%"
"Aug 04, 2021","1.1835","1.1864","1.1901","1.1832","-0.21%"
"Aug 03, 2021","1.1860","1.1868","1.1894","1.1853","-0.06%"
"Aug 02, 2021","1.1867","1.1864","1.1897","1.1858","-0.03%"
"Jul 30, 2021","1.1870","1.1888","1.1910","1.1851","-0.13%"
"Jul 29, 2021","1.1886","1.1845","1.1894","1.1840","0.37%"
"Jul 28, 2021","1.1842","1.1817","1.1851","1.1773","0.24%"
"Jul 27, 2021","1.1814","1.1804","1.1841","1.1769","0.13%"
"Jul 26, 2021","1.1799","1.1778","1.1818","1.1763","0.24%"
"Jul 23, 2021","1.1771","1.1769","1.1788","1.1753","0.01%"
"Jul 22, 2021","1.1770","1.1793","1.1831","1.1757","-0.19%"
"Jul 21, 2021","1.1792","1.1782","1.1805","1.1752","0.11%"
"Jul 20, 2021","1.1779","1.1801","1.1805","1.1755","-0.16%"
"Jul 19, 2021","1.1798","1.1808","1.1825","1.1763","-0.06%"
"Jul 16, 2021","1.1805","1.1814","1.1823","1.1791","-0.06%"
"Jul 15, 2021","1.1812","1.1837","1.1852","1.1796","-0.19%"
"Jul 14, 2021","1.1835","1.1776","1.1839","1.1772","0.52%"
"Jul 13, 2021","1.1774","1.1862","1.1876","1.1772","-0.72%"
"Jul 12, 2021","1.1859","1.1872","1.1881","1.1836","-0.12%"
"Jul 09, 2021","1.1873","1.1844","1.1882","1.1825","0.26%"
"Jul 08, 2021","1.1842","1.1792","1.1868","1.1783","0.45%"
"Jul 07, 2021","1.1789","1.1823","1.1839","1.1782","-0.28%"
"Jul 06, 2021","1.1822","1.1863","1.1896","1.1806","-0.33%"
"Jul 05, 2021","1.1861","1.1862","1.1882","1.1851","-0.03%"
"Jul 02, 2021","1.1864","1.1849","1.1875","1.1806","0.14%"
"Jul 01, 2021","1.1848","1.1859","1.1885","1.1837","-0.06%"
"Jun 30, 2021","1.1855","1.1897","1.1910","1.1845","-0.34%"
"Jun 29, 2021","1.1895","1.1926","1.1932","1.1877","-0.24%"
"Jun 28, 2021","1.1924","1.1935","1.1946","1.1902","-0.08%"
"Jun 25, 2021","1.1933","1.1932","1.1976","1.1925","0.03%"
"Jun 24, 2021","1.1930","1.1927","1.1957","1.1918","0.04%"
"Jun 23, 2021","1.1925","1.1939","1.1970","1.1911","-0.11%"
"Jun 22, 2021","1.1938","1.1918","1.1954","1.1881","0.19%"
"Jun 21, 2021","1.1915","1.1868","1.1922","1.1847","0.46%"
"Jun 18, 2021","1.1860","1.1908","1.1926","1.1846","-0.39%"
"Jun 17, 2021","1.1906","1.1996","1.2007","1.1891","-0.73%"
"Jun 16, 2021","1.1994","1.2127","1.2135","1.1993","-1.07%"
"Jun 15, 2021","1.2124","1.2120","1.2149","1.2100","0.05%"
"Jun 14, 2021","1.2118","1.2110","1.2131","1.2093","0.10%"
"Jun 11, 2021","1.2106","1.2170","1.2196","1.2092","-0.52%"
"Jun 10, 2021","1.2169","1.2181","1.2195","1.2142","-0.07%"
"Jun 09, 2021","1.2178","1.2173","1.2219","1.2170","0.06%"
"Jun 08, 2021","1.2171","1.2190","1.2196","1.2163","-0.15%"
"Jun 07, 2021","1.2189","1.2168","1.2203","1.2145","0.20%"
"Jun 04, 2021","1.2165","1.2129","1.2186","1.2104","0.34%"
"Jun 03, 2021","1.2124","1.2210","1.2217","1.2118","-0.70%"
"Jun 02, 2021","1.2209","1.2214","1.2227","1.2163","-0.02%"
"Jun 01, 2021","1.2211","1.2227","1.2255","1.2211","-0.11%"
"May 31, 2021","1.2225","1.2192","1.2233","1.2183","0.30%"
"May 28, 2021","1.2189","1.2195","1.2205","1.2132","-0.02%"
"May 27, 2021","1.2192","1.2192","1.2216","1.2175","0.02%"
"May 26, 2021","1.2190","1.2251","1.2263","1.2182","-0.49%"
"May 25, 2021","1.2250","1.2217","1.2267","1.2211","0.29%"
"May 24, 2021","1.2215","1.2178","1.2230","1.2172","0.30%"
"May 21, 2021","1.2179","1.2228","1.2241","1.2161","-0.38%"
"May 20, 2021","1.2226","1.2171","1.2230","1.2169","0.44%"
"May 19, 2021","1.2172","1.2222","1.2246","1.2160","-0.39%"
"May 18, 2021","1.2220","1.2153","1.2234","1.2151","0.57%"
"May 17, 2021","1.2151","1.2140","1.2170","1.2126","0.09%"
"May 14, 2021","1.2140","1.2080","1.2150","1.2070","0.51%"
"May 13, 2021","1.2078","1.2073","1.2108","1.2050","0.07%"
"May 12, 2021","1.2069","1.2148","1.2153","1.2065","-0.63%"
"May 11, 2021","1.2146","1.2129","1.2182","1.2122","0.14%"
"May 10, 2021","1.2129","1.2161","1.2178","1.2127","-0.28%"
"May 07, 2021","1.2163","1.2066","1.2172","1.2053","0.82%"
"May 06, 2021","1.2064","1.2005","1.2072","1.1992","0.49%"
"May 05, 2021","1.2005","1.2013","1.2027","1.1985","-0.07%"
"May 04, 2021","1.2013","1.2064","1.2066","1.1998","-0.40%"
"May 03, 2021","1.2061","1.2031","1.2076","1.2012","0.36%"
"Apr 30, 2021","1.2018","1.2116","1.2127","1.2016","-0.83%"
"Apr 29, 2021","1.2118","1.2126","1.2150","1.2102","-0.04%"
"Apr 28, 2021","1.2123","1.2091","1.2135","1.2055","0.27%"
"Apr 27, 2021","1.2090","1.2086","1.2093","1.2056","0.06%"
"Apr 26, 2021","1.2083","1.2093","1.2118","1.2061","-0.13%"
"Apr 23, 2021","1.2099","1.2015","1.2100","1.2012","0.70%"
"Apr 22, 2021","1.2015","1.2035","1.2070","1.1993","-0.15%"
"Apr 21, 2021","1.2033","1.2037","1.2045","1.1998","0.00%"
"Apr 20, 2021","1.2033","1.2036","1.2081","1.2022","0.00%"
"Apr 19, 2021","1.2033","1.1984","1.2049","1.1942","0.42%"
"Apr 16, 2021","1.1983","1.1967","1.1996","1.1950","0.15%"
"Apr 15, 2021","1.1965","1.1980","1.1995","1.1955","-0.11%"
"Apr 14, 2021","1.1978","1.1948","1.1988","1.1947","0.27%"
"Apr 13, 2021","1.1946","1.1911","1.1956","1.1878","0.31%"
"Apr 12, 2021","1.1909","1.1891","1.1920","1.1870","0.11%"
"Apr 09, 2021","1.1896","1.1913","1.1921","1.1867","-0.13%"
"Apr 08, 2021","1.1912","1.1867","1.1928","1.1861","0.35%"
"Apr 07, 2021","1.1870","1.1875","1.1916","1.1861","-0.04%"
"Apr 06, 2021","1.1875","1.1814","1.1878","1.1795","0.54%"
"Apr 05, 2021","1.1811","1.1761","1.1820","1.1738","0.42%"
"Apr 02, 2021","1.1762","1.1777","1.1788","1.1748","-0.11%"
"Apr 01, 2021","1.1775","1.1731","1.1781","1.1712","0.40%"
"Mar 31, 2021","1.1728","1.1716","1.1760","1.1703","0.12%"
"Mar 30, 2021","1.1714","1.1764","1.1774","1.1711","-0.41%"
"Mar 29, 2021","1.1762","1.1795","1.1797","1.1760","-0.29%"
"Mar 26, 2021","1.1796","1.1763","1.1805","1.1763","0.27%"
"Mar 25, 2021","1.1764","1.1813","1.1829","1.1761","-0.41%"
"Mar 24, 2021","1.1812","1.1851","1.1854","1.1809","-0.31%"
"Mar 23, 2021","1.1849","1.1935","1.1941","1.1841","-0.69%"
"Mar 22, 2021","1.1931","1.1899","1.1947","1.1871","0.24%"
"Mar 19, 2021","1.1903","1.1915","1.1939","1.1874","-0.10%"
"Mar 18, 2021","1.1915","1.1979","1.1990","1.1906","-0.53%"
"Mar 17, 2021","1.1978","1.1906","1.1986","1.1885","0.66%"
"Mar 16, 2021","1.1900","1.1929","1.1953","1.1882","-0.23%"
"Mar 15, 2021","1.1928","1.1952","1.1968","1.1911","-0.20%"
"Mar 12, 2021","1.1952","1.1983","1.1990","1.1910","-0.27%"
"Mar 11, 2021","1.1984","1.1928","1.1990","1.1916","0.49%"
"Mar 10, 2021","1.1925","1.1900","1.1931","1.1868","0.23%"
"Mar 09, 2021","1.1898","1.1847","1.1917","1.1835","0.46%"
"Mar 08, 2021","1.1843","1.1922","1.1933","1.1844","-0.62%"
"Mar 05, 2021","1.1917","1.1968","1.1978","1.1894","-0.41%"
"Mar 04, 2021","1.1966","1.2063","1.2068","1.1961","-0.80%"
"Mar 03, 2021","1.2062","1.2091","1.2113","1.2042","-0.22%"
"Mar 02, 2021","1.2089","1.2049","1.2095","1.1991","0.35%"
"Mar 01, 2021","1.2047","1.2079","1.2102","1.2027","-0.22%"
"Feb 26, 2021","1.2074","1.2176","1.2185","1.2062","-0.84%"
"Feb 25, 2021","1.2176","1.2163","1.2243","1.2155","0.10%"
"Feb 24, 2021","1.2164","1.2150","1.2176","1.2109","0.12%"
"Feb 23, 2021","1.2149","1.2155","1.2181","1.2135","-0.04%"
"Feb 22, 2021","1.2154","1.2117","1.2170","1.2091","0.31%"
"Feb 19, 2021","1.2117","1.2091","1.2145","1.2082","0.24%"
"Feb 18, 2021","1.2088","1.2037","1.2096","1.2035","0.43%"
"Feb 17, 2021","1.2036","1.2107","1.2111","1.2023","-0.56%"
"Feb 16, 2021","1.2104","1.2130","1.2170","1.2095","-0.19%"
"Feb 15, 2021","1.2127","1.2123","1.2146","1.2116","0.07%"
"Feb 12, 2021","1.2118","1.2130","1.2135","1.2081","-0.08%"
"Feb 11, 2021","1.2128","1.2118","1.2150","1.2112","0.10%"
"Feb 10, 2021","1.2116","1.2119","1.2145","1.2108","-0.01%"
"Feb 09, 2021","1.2117","1.2048","1.2122","1.2045","0.57%"
"Feb 08, 2021","1.2048","1.2042","1.2067","1.2019","0.05%"
"Feb 05, 2021","1.2042","1.1964","1.2050","1.1952","0.67%"
"Feb 04, 2021","1.1962","1.2033","1.2043","1.1957","-0.60%"
"Feb 03, 2021","1.2034","1.2044","1.2050","1.2003","-0.07%"
"Feb 02, 2021","1.2042","1.2059","1.2089","1.2011","-0.14%"
"Feb 01, 2021","1.2059","1.2140","1.2146","1.2054","-0.63%"
"Jan 29, 2021","1.2136","1.2121","1.2156","1.2093","0.12%"
"Jan 28, 2021","1.2121","1.2109","1.2142","1.2079","0.11%"
"Jan 27, 2021","1.2108","1.2160","1.2170","1.2057","-0.43%"
"Jan 26, 2021","1.2160","1.2138","1.2177","1.2107","0.19%"
"Jan 25, 2021","1.2137","1.2168","1.2184","1.2115","-0.25%"
"Jan 22, 2021","1.2167","1.2164","1.2191","1.2151","0.04%"
"Jan 21, 2021","1.2162","1.2106","1.2175","1.2103","0.48%"
"Jan 20, 2021","1.2104","1.2127","1.2158","1.2076","-0.20%"
"Jan 19, 2021","1.2128","1.2078","1.2146","1.2074","0.43%"
"Jan 18, 2021","1.2076","1.2085","1.2091","1.2054","-0.02%"
"Jan 15, 2021","1.2078","1.2155","1.2163","1.2074","-0.64%"
"Jan 14, 2021","1.2156","1.2157","1.2179","1.2111","-0.01%"
"Jan 13, 2021","1.2157","1.2208","1.2224","1.2140","-0.41%"
"Jan 12, 2021","1.2207","1.2152","1.2211","1.2136","0.48%"
"Jan 11, 2021","1.2149","1.2217","1.2227","1.2132","-0.56%"
"Jan 08, 2021","1.2218","1.2273","1.2284","1.2191","-0.42%"
"Jan 07, 2021","1.2270","1.2327","1.2346","1.2244","-0.45%"
"Jan 06, 2021","1.2325","1.2296","1.2350","1.2265","0.25%"
"Jan 05, 2021","1.2294","1.2247","1.2307","1.2246","0.38%"
"Jan 04, 2021","1.2248","1.2231","1.2310","1.2223","0.29%"
"Jan 01, 2021","1.2212","1.2216","1.2217","1.2210","-0.01%"