Date,Price,Open,High,Low,Vol.,Change %
30-Nov-21,109.97,109.97,110.43,109.37,-,0.00%
29-Nov-21,109.97,109.91,110.1,109.58,-,0.06%
26-Nov-21,110.06,109.48,110.25,109.43,-,0.53%
25-Nov-21,109.49,109.44,109.64,109.1,-,0.04%
24-Nov-21,109.44,109.37,109.61,109.02,-,0.06%
23-Nov-21,109.38,109.37,109.72,109.1,-,0.01%
22-Nov-21,109.37,109.3,109.43,109.06,-,0.06%
19-Nov-21,109.34,110.59,110.87,109.29,-,-1.12%
18-Nov-21,110.58,110.59,110.95,109.47,-,-0.01%
17-Nov-21,110.59,110.58,110.84,109.32,-,0.01%
16-Nov-21,110.58,110.56,110.81,109.53,-,0.03%
15-Nov-21,110.56,110.53,110.66,109.83,-,0.02%
12-Nov-21,110.58,111.4,111.41,110.55,-,-0.74%
11-Nov-21,111.4,111.38,111.42,110.59,-,0.01%
10-Nov-21,111.39,111.3,111.39,110.76,-,0.07%
9-Nov-21,111.31,111.26,111.36,111.06,-,0.05%
8-Nov-21,111.26,111.24,111.35,111.14,-,0.02%
5-Nov-21,111.19,110.97,111.24,110.19,-,0.20%
4-Nov-21,110.97,110.94,111.43,110.43,-,0.03%
3-Nov-21,110.94,110.89,111.42,110.76,-,0.04%
2-Nov-21,110.89,110.87,111.24,110.78,-,0.02%
1-Nov-21,110.87,110.88,111.25,110.8,-,0.00%
29-Oct-21,110.85,111.44,111.57,110.57,-,-0.52%
28-Oct-21,111.43,111.4,111.85,111.07,-,0.03%
27-Oct-21,111.4,111.43,111.61,110.98,-,-0.02%
26-Oct-21,111.43,111.39,111.52,110.97,-,0.03%
25-Oct-21,111.39,111.34,111.52,110.98,-,0.04%
22-Oct-21,111.36,111.21,111.62,111.21,-,0.13%
21-Oct-21,111.21,111.18,111.5,111.17,-,0.03%
20-Oct-21,111.18,111.11,111.57,111.05,-,0.07%
19-Oct-21,111.11,111.07,111.43,110.98,-,0.03%
18-Oct-21,111.07,111.02,111.3,110.88,-,0.05%
15-Oct-21,111.01,110.6,111.27,110.59,-,0.38%
14-Oct-21,110.59,110.58,111.08,110.58,-,0.01%
13-Oct-21,110.58,110.67,111.04,110.53,-,-0.08%
12-Oct-21,110.67,110.62,110.83,110.5,-,0.05%
11-Oct-21,110.62,110.57,110.82,110.56,-,0.04%
8-Oct-21,110.55,110.83,110.84,110.34,-,-0.25%
7-Oct-21,110.83,110.74,110.86,110.18,-,0.09%
6-Oct-21,110.73,110.74,110.79,110.18,-,-0.01%
5-Oct-21,110.74,110.72,110.82,110.51,-,0.02%
4-Oct-21,110.72,110.72,110.94,110.63,-,0.00%
1-Oct-21,110.63,111.58,111.6,110.61,-,-0.85%
30-Sep-21,111.57,111.6,111.61,110.6,-,-0.02%
29-Sep-21,111.6,111.54,111.61,111,-,0.05%
28-Sep-21,111.54,111.49,111.64,111.23,-,0.05%
27-Sep-21,111.49,111.47,111.52,111.23,-,0.01%
24-Sep-21,111.38,111.41,111.73,111.36,-,-0.02%
23-Sep-21,111.41,111.35,111.76,111.02,-,0.05%
22-Sep-21,111.35,111.31,111.45,111.01,-,0.04%
21-Sep-21,111.31,111.3,111.35,111.14,-,0.01%
20-Sep-21,111.3,111.29,111.33,111.11,-,0.02%
17-Sep-21,111.21,111.74,111.84,110.98,-,-0.47%
16-Sep-21,111.74,111.74,111.84,111.02,-,0.00%
15-Sep-21,111.74,111.7,111.8,111.37,-,0.03%
14-Sep-21,111.7,111.68,111.81,111.3,-,0.02%
13-Sep-21,111.67,111.66,111.78,111.36,-,0.02%
10-Sep-21,111.68,112.12,112.26,111.57,-,-0.39%
9-Sep-21,112.12,112.12,112.25,111.44,-,0.00%
8-Sep-21,112.12,112.06,112.19,111.61,-,0.06%
7-Sep-21,112.06,112.06,112.11,111.75,-,0.06%
6-Sep-21,111.99,112.02,112.05,111.81,-,-0.02%
3-Sep-21,111.93,111.41,112.1,111.4,-,0.47%
2-Sep-21,111.41,111.38,112.02,111.33,-,0.03%
1-Sep-21,111.38,111.31,111.79,111.29,-,0.06%
31-Aug-21,111.31,111.27,111.64,111.26,-,0.03%
30-Aug-21,111.28,111.24,111.31,111.16,-,0.03%
27-Aug-21,111.18,110.7,111.23,110.53,-,0.43%
26-Aug-21,110.7,110.67,111.08,110.52,-,0.03%
25-Aug-21,110.66,110.64,111.06,110.51,-,0.02%
24-Aug-21,110.64,110.62,110.86,110.58,-,0.03%
23-Aug-21,110.61,110.6,110.83,110.54,-,0.01%
20-Aug-21,110.54,110.95,111.02,110.47,-,-0.36%
19-Aug-21,110.95,110.9,111.03,110.29,-,0.05%
18-Aug-21,110.89,110.92,111,110.27,-,-0.02%
17-Aug-21,110.91,110.89,110.96,110.33,-,0.02%
16-Aug-21,110.89,110.87,110.92,110.61,-,0.02%
13-Aug-21,110.83,110.65,111.04,110.6,-,0.16%
12-Aug-21,110.65,110.58,110.75,110.44,-,0.07%
11-Aug-21,110.58,110.52,110.7,110.35,-,0.05%
10-Aug-21,110.52,110.47,110.61,110.31,-,0.05%
9-Aug-21,110.47,110.48,110.62,110.44,-,0.00%
6-Aug-21,110.52,111.32,111.45,110.45,-,-0.72%
5-Aug-21,111.32,111.31,111.53,110.86,-,0.02%
4-Aug-21,111.3,111.26,111.42,110.85,-,0.03%
3-Aug-21,111.27,111.18,111.39,110.93,-,0.08%
2-Aug-21,111.18,111.12,111.32,111.04,-,0.05%
30-Jul-21,111.1,110.67,111.15,110.38,-,0.40%
29-Jul-21,110.66,110.63,111.15,110.36,-,0.03%
28-Jul-21,110.62,110.6,110.92,110.34,-,0.02%
27-Jul-21,110.6,110.53,110.87,110.37,-,0.07%
26-Jul-21,110.53,110.5,110.71,110.43,-,0.04%
23-Jul-21,110.47,110.68,110.9,110.23,-,-0.18%
22-Jul-21,110.67,110.64,110.83,110.03,-,0.03%
21-Jul-21,110.64,110.63,110.74,110.22,-,0.00%
20-Jul-21,110.64,110.59,110.67,110.26,-,0.03%
19-Jul-21,110.6,110.62,110.7,110.3,-,-0.02%
16-Jul-21,110.55,110.74,110.92,110.29,-,-0.17%
15-Jul-21,110.74,110.75,110.87,110.32,-,-0.01%
14-Jul-21,110.75,110.75,110.86,110.21,-,0.00%
13-Jul-21,110.75,110.74,110.83,110.06,-,0.02%
12-Jul-21,110.73,110.69,110.79,110.47,-,0.04%
9-Jul-21,110.61,110.63,110.95,110.53,-,-0.02%
8-Jul-21,110.63,110.57,110.87,110.07,-,0.06%
7-Jul-21,110.57,110.51,110.76,110.03,-,0.05%
6-Jul-21,110.51,110.51,110.77,110.2,-,0.01%
5-Jul-21,110.5,110.5,110.63,110.46,-,0.00%
2-Jul-21,110.52,111.07,111.09,110.35,-,-0.50%
1-Jul-21,111.07,111.07,111.1,110.45,-,0.01%
30-Jun-21,111.07,111.05,111.1,110.36,-,0.02%
29-Jun-21,111.05,110.99,111.05,110.5,-,0.05%
28-Jun-21,110.99,110.94,111,110.68,-,0.04%
25-Jun-21,110.88,110.28,111.16,110.07,-,0.54%
24-Jun-21,110.28,110.26,110.88,109.98,-,0.01%
23-Jun-21,110.26,110.2,110.84,109.95,-,0.06%
22-Jun-21,110.2,110.21,110.8,110.04,-,0.00%
21-Jun-21,110.2,110.17,110.55,109.96,-,0.02%
18-Jun-21,110.05,111.45,111.55,110.03,-,-1.25%
17-Jun-21,111.44,111.36,111.54,110.14,-,0.06%
16-Jun-21,111.37,111.34,111.64,110.81,-,0.03%
15-Jun-21,111.34,111.31,111.61,111.23,-,0.03%
14-Jun-21,111.31,111.29,111.5,111.17,-,0.03%
11-Jun-21,111.22,111.61,111.67,111.11,-,-0.35%
10-Jun-21,111.6,111.54,111.94,111.28,-,0.05%
9-Jun-21,111.54,111.52,111.92,111.37,-,0.02%
8-Jun-21,111.52,111.49,111.65,111.25,-,0.02%
7-Jun-21,111.49,111.46,111.66,111.31,-,0.03%
4-Jun-21,111.42,111.79,111.79,111.02,-,-0.33%
3-Jun-21,111.79,111.73,111.84,111.18,-,0.05%
2-Jun-21,111.73,111.7,111.98,111.28,-,0.03%
1-Jun-21,111.7,111.63,111.99,111.5,-,0.06%
31-May-21,111.63,111.6,111.84,111.53,-,0.03%
28-May-21,111.54,111.33,111.95,111.25,-,0.18%
27-May-21,111.34,111.31,111.92,111.22,-,0.02%
26-May-21,111.31,111.28,111.81,111.24,-,0.03%
25-May-21,111.28,111.25,111.92,111.22,-,0.02%
24-May-21,111.25,111.22,111.57,111.17,-,0.03%
21-May-21,111.17,110.91,111.55,110.91,-,0.23%
20-May-21,110.91,110.89,111.58,110.82,-,0.02%
19-May-21,110.89,110.87,111.43,110.77,-,0.02%
18-May-21,110.87,110.84,111.39,110.7,-,0.02%
17-May-21,110.84,110.79,110.97,110.63,-,0.04%
14-May-21,110.7,110.91,111.35,110.7,-,-0.19%
13-May-21,110.91,110.9,111.13,110.28,-,0.02%
12-May-21,110.89,110.83,110.99,110.28,-,0.06%
11-May-21,110.83,110.82,111.01,110.44,-,0.02%
10-May-21,110.81,110.71,110.83,110.4,-,0.08%
7-May-21,110.68,109.94,110.76,109.76,-,0.67%
6-May-21,109.95,109.92,110.3,109.63,-,0.01%
5-May-21,109.93,109.9,109.94,109.52,-,0.03%
4-May-21,109.9,109.89,110.04,109.68,-,0.00%
3-May-21,109.9,109.87,110.11,109.79,-,0.02%
30-Apr-21,109.76,110.01,110.45,109.71,-,-0.22%
29-Apr-21,110,109.96,110.94,109.85,-,0.04%
28-Apr-21,109.95,109.89,110.9,109.81,-,0.06%
27-Apr-21,109.89,109.86,110.69,109.81,-,0.03%
26-Apr-21,109.86,109.84,110.6,109.8,-,0.02%
23-Apr-21,109.27,108.63,109.47,108.52,-,0.58%
22-Apr-21,108.65,108.62,109.12,108.46,-,0.03%
21-Apr-21,108.61,108.58,109.02,108.43,-,0.03%
20-Apr-21,108.58,108.57,109.17,108.36,-,0.02%
19-Apr-21,108.56,108.49,108.87,108.28,-,0.06%
16-Apr-21,108.55,108.27,108.61,107.92,-,0.26%
15-Apr-21,108.27,108.24,108.64,107.84,-,0.03%
14-Apr-21,108.24,108.18,108.63,107.85,-,0.05%
13-Apr-21,108.18,108.13,108.45,107.76,-,0.04%
12-Apr-21,108.14,108.11,108.22,107.83,-,0.02%
9-Apr-21,108.1,107.21,108.15,106.86,-,0.83%
8-Apr-21,107.22,107.17,108.14,106.92,-,0.05%
7-Apr-21,107.17,107.13,107.92,106.91,-,0.03%
6-Apr-21,107.13,107.14,107.81,106.86,-,0.00%
5-Apr-21,107.14,107.09,107.35,106.84,-,0.04%
2-Apr-21,107.02,107.11,107.2,106.89,-,-0.09%
1-Apr-21,107.11,107.08,107.28,106.73,-,0.03%
31-Mar-21,107.08,107.07,107.14,106.57,-,0.01%
30-Mar-21,107.07,107,107.12,106.54,-,0.07%
29-Mar-21,107,106.95,107.07,106.71,-,0.06%
26-Mar-21,106.94,107.71,108.01,106.93,-,-0.71%
25-Mar-21,107.71,107.63,107.91,106.68,-,0.08%
24-Mar-21,107.62,107.59,107.77,107.01,-,0.03%
23-Mar-21,107.59,107.63,107.78,107.22,-,-0.03%
22-Mar-21,107.63,107.63,108.02,107.5,-,0.00%
19-Mar-21,107.7,107.98,108.07,107.11,-,-0.25%
18-Mar-21,107.97,107.95,108.09,107.15,-,0.03%
17-Mar-21,107.94,107.92,108.13,107.52,-,0.02%
16-Mar-21,107.92,107.89,108.04,107.37,-,0.03%
15-Mar-21,107.89,107.9,107.99,107.68,-,-0.01%
12-Mar-21,107.91,107.69,107.94,107.32,-,0.21%
11-Mar-21,107.69,107.69,108,107.45,-,0.00%
10-Mar-21,107.69,107.67,107.75,107.22,-,0.02%
9-Mar-21,107.67,107.65,107.71,107.02,-,0.03%
8-Mar-21,107.64,107.56,107.65,107.02,-,0.07%
5-Mar-21,107.48,108.36,108.38,107.3,-,-0.82%
4-Mar-21,108.36,108.34,108.45,107.59,-,0.03%
3-Mar-21,108.33,108.39,108.43,107.72,-,-0.06%
2-Mar-21,108.4,108.4,108.42,107.71,-,0.00%
1-Mar-21,108.4,108.37,108.42,107.94,-,0.02%
26-Feb-21,108.29,108.13,108.74,108.03,-,0.15%
25-Feb-21,108.13,108.21,109.06,108.11,-,-0.07%
24-Feb-21,108.21,108.14,108.48,108.01,-,0.06%
23-Feb-21,108.15,108.12,108.37,107.97,-,0.03%
22-Feb-21,108.12,108.04,108.31,107.92,-,0.07%
19-Feb-21,107.96,107.51,108.47,107.5,-,0.42%
18-Feb-21,107.51,107.89,108.15,107.46,-,-0.35%
17-Feb-21,107.89,107.83,108.03,107.3,-,0.06%
16-Feb-21,107.82,107.9,108.22,107.74,-,-0.07%
15-Feb-21,107.9,107.85,108.02,107.82,-,0.05%
12-Feb-21,107.82,107.51,107.95,107.39,-,0.30%
11-Feb-21,107.51,107.47,108.03,107.37,-,0.03%
10-Feb-21,107.47,107.43,107.83,107.34,-,0.04%
9-Feb-21,107.43,107.41,107.76,107.29,-,0.01%
8-Feb-21,107.42,107.38,107.51,107.25,-,0.03%
5-Feb-21,107.32,107.96,108.07,107.02,-,-0.59%
4-Feb-21,107.96,107.92,108.06,106.58,-,0.04%
3-Feb-21,107.92,107.88,108.03,107.04,-,0.05%
2-Feb-21,107.87,107.9,108.01,107.07,-,-0.03%
1-Feb-21,107.9,107.85,107.94,107.39,-,0.05%
29-Jan-21,107.87,107.95,108.06,107.53,-,-0.08%
28-Jan-21,107.96,107.9,108.04,107.25,-,0.04%
27-Jan-21,107.91,107.91,107.97,107.06,-,0.01%
26-Jan-21,107.91,107.87,107.95,107.58,-,0.03%
25-Jan-21,107.87,107.8,107.93,107.44,-,0.07%
22-Jan-21,107.79,107.32,107.87,107.31,-,0.44%
21-Jan-21,107.32,107.27,107.71,107.21,-,0.04%
20-Jan-21,107.27,107.2,107.61,107.06,-,0.08%
19-Jan-21,107.18,107.11,107.59,107.11,-,0.06%
18-Jan-21,107.11,107.06,107.19,107,-,0.05%
15-Jan-21,107.1,108.04,108.13,106.81,-,-0.87%
14-Jan-21,108.04,108.06,108.16,107.09,-,-0.02%
13-Jan-21,108.06,108.03,108.25,107.34,-,0.02%
12-Jan-21,108.03,108.01,108.19,107.58,-,0.02%
11-Jan-21,108.01,107.94,108.2,107.71,-,0.06%
8-Jan-21,108.1,108.25,108.56,107.8,-,-0.14%
7-Jan-21,108.25,108.21,108.76,107.94,-,0.01%
6-Jan-21,108.24,108.12,108.95,107.95,-,0.10%
5-Jan-21,108.13,108.09,108.64,107.94,-,0.04%
4-Jan-21,108.08,108.02,108.5,107.39,-,0.06%
1-Jan-21,107.39,108.19,108.52,106.82,-,-0.74%